# Reference solar spectrum, disc centre.
# Delbouille, Neven & Roland (1972), Jungfraujoch; served by BASS2000
# (bass2000.obspm.fr).  Intensity is linear, continuum = 10000.
wavelength_nm,intensity,label
386.3440,4406,
386.4440,7713,
386.5440,1779,
386.6440,3543,
386.7440,5700,
386.8440,4159,
386.9440,5667,
387.0440,6155,
387.1440,2243,
387.2440,1565,
387.3440,8710,
387.4440,9061,
387.5440,9245,
387.6440,4940,
387.7440,3627,
387.8440,1863,
387.9440,9190,
388.0440,2870,
388.1440,5890,
388.2440,6112,
388.3440,6685,
388.4440,4163,
388.5440,6128,
388.6440,1893,
388.7440,6156,
388.8440,1267,
388.9440,4377,
389.0440,5197,
389.1440,7212,
389.2440,8170,
389.3440,3023,
389.4440,8124,
389.5440,1712,
389.6440,5056,
389.7440,1546,
389.8440,5472,
389.9440,6168,
390.0440,4576,
390.1440,9076,
390.2440,4678,
390.3440,7704,
390.4440,8219,
390.5440,1573,
390.6440,1604,
390.7440,4255,
390.8440,7264,
390.9440,9505,
391.0440,7201,
391.1440,8713,
391.2440,8551,
391.3440,1205,
391.4440,3865,
391.5440,7523,
391.6440,4578,
391.7440,8925,
391.8440,1852,
391.9440,8765,
392.0440,5006,
392.1440,3550,
392.2440,5395,
392.3440,6809,
392.4440,6759,
392.5440,6116,
392.6440,3702,
392.7440,3465,
392.8440,3844,
392.9440,3047,
393.0440,1805,
393.1440,1723,
393.2440,1204,
393.3440,666,
393.3660,449,Ca+ K
393.4660,1122,
393.5660,1490,
393.6660,2231,
393.7660,2938,
393.8660,3563,
393.9660,4612,
394.0660,4566,
394.1660,6135,
394.2660,6370,
394.3660,4809,
394.4660,4309,
394.5660,7842,
394.6660,6136,
394.7660,5162,
394.8660,1425,
394.9660,8457,
395.0660,8903,
395.1660,7837,
395.2660,1920,
395.3660,8485,
395.4660,8428,
395.5660,7949,
395.6660,1076,
395.7660,6217,
395.8660,7931,
395.9660,7805,
396.0660,6592,
396.1660,1889,
396.2660,4796,
396.3660,2317,
396.4660,4271,
396.5660,3131,
396.6660,1232,
396.7660,1343,
396.8470,486,Ca+ H
396.9470,1466,
397.0470,1867,
397.1470,3237,
397.2470,2749,
397.3470,5096,
397.4470,2830,
397.5470,6682,
397.6470,7052,
397.7470,7622,
397.8470,2863,
397.9470,5561,
398.0470,8712,
398.1470,7962,
398.2470,2815,
398.3470,8841,
398.4470,8629,
398.5470,8179,
398.6470,8314,
398.7470,8116,
398.8470,6832,
398.9470,9141,
399.0470,8883,
399.1470,7181,
399.2470,8426,
399.3470,9470,
399.4470,5143,
399.5470,9359,
399.6470,9480,
399.7470,2119,
399.8470,5948,
399.9470,9539,
400.0000,9174,
400.1000,8651,
400.2000,9144,
400.3000,8975,
400.4000,8505,
400.5000,2659,
400.6000,8971,
400.7000,4425,
400.8000,6953,
400.9000,9110,
401.0000,8519,
401.1000,9257,
401.2000,8881,
401.3000,9778,
401.4000,8670,
401.5000,9098,
401.6000,8902,
401.7000,8229,
401.8000,7997,
401.9000,8487,
402.0000,5265,
402.1000,9543,
402.2000,8898,
402.3000,7811,
402.4000,4744,
402.5000,6114,
402.6000,9598,
402.7000,7985,
402.8000,9240,
402.9000,9688,
403.0000,9471,
403.1000,8216,
403.2000,5081,
403.3000,1694,
403.4000,8772,
403.5000,9083,
403.6000,8375,
403.7000,9734,
403.8000,9591,
403.9000,9130,
404.0000,8832,
404.1000,9496,
404.2000,9693,
404.3000,9672,
404.4000,3192,
404.5000,7363,
404.6000,1758,
404.7000,7521,
404.8000,9168,
404.9000,6842,
405.0000,9629,
405.1000,9310,
405.2000,6550,
405.3000,9025,
405.4000,9413,
405.5000,3725,
405.6000,7217,
405.7000,9051,
405.8000,7226,
405.9000,8231,
406.0000,9681,
406.1000,9697,
406.2000,7135,
406.3000,7682,
406.4000,5339,
406.5000,9061,
406.6000,7995,
406.7000,1369,
406.8000,1012,
406.9000,8058,
407.0000,8571,
407.1000,7981,
407.2000,4251,
407.3000,9439,
407.4000,9100,
407.5000,9222,
407.6000,6869,
407.7000,9231,
407.8000,6855,
407.9000,9085,
408.0000,9466,
408.1000,9706,
408.2000,9342,
408.3000,7226,
408.4000,8049,
408.5000,1281,
408.6000,4703,
408.7000,9322,
408.8000,9352,
408.9000,8823,
409.0000,7365,
409.1000,7582,
409.2000,9060,
409.3000,9270,
409.4000,9606,
409.5000,6372,
409.6000,2307,
409.7000,6195,
409.8000,7759,
409.9000,7971,
410.0000,6828,
410.1000,6076,
410.1750,2082,Hdelta h
410.2750,6729,
410.3750,8122,
410.4750,6731,
410.5750,9123,
410.6750,8548,
410.7750,9194,
